source,year,sector_abbr,state_id,escalation_factor
Planning,2015,res,1,1.0
Planning,2015,res,2,1.0
Planning,2015,res,3,1.0
Planning,2015,res,4,1.0
Planning,2015,res,5,1.0
Planning,2015,res,6,1.0
Planning,2015,res,7,1.0
Planning,2015,res,8,1.0
Planning,2015,res,9,1.0
Planning,2015,res,10,1.0
Planning,2015,res,11,1.0
Planning,2015,res,12,1.0
Planning,2015,res,13,1.0
Planning,2015,res,14,1.0
Planning,2015,res,15,1.0
Planning,2015,res,16,1.0
Planning,2015,res,17,1.0
Planning,2015,res,18,1.0
Planning,2015,res,19,1.0
Planning,2015,res,20,1.0
Planning,2015,res,21,1.0
Planning,2015,res,22,1.0
Planning,2015,res,23,1.0
Planning,2015,res,24,1.0
Planning,2015,res,25,1.0
Planning,2015,res,26,1.0
Planning,2015,res,27,1.0
Planning,2015,res,28,1.0
Planning,2015,res,29,1.0
Planning,2015,res,30,1.0
Planning,2015,res,31,1.0
Planning,2015,res,32,1.0
Planning,2015,res,33,1.0
Planning,2015,res,34,1.0
Planning,2015,res,35,1.0
Planning,2015,com,1,1.0
Planning,2015,com,2,1.0
Planning,2015,com,3,1.0
Planning,2015,com,4,1.0
Planning,2015,com,5,1.0
Planning,2015,com,6,1.0
Planning,2015,com,7,1.0
Planning,2015,com,8,1.0
Planning,2015,com,9,1.0
Planning,2015,com,10,1.0
Planning,2015,com,11,1.0
Planning,2015,com,12,1.0
Planning,2015,com,13,1.0
Planning,2015,com,14,1.0
Planning,2015,com,15,1.0
Planning,2015,com,16,1.0
Planning,2015,com,17,1.0
Planning,2015,com,18,1.0
Planning,2015,com,19,1.0
Planning,2015,com,20,1.0
Planning,2015,com,21,1.0
Planning,2015,com,22,1.0
Planning,2015,com,23,1.0
Planning,2015,com,24,1.0
Planning,2015,com,25,1.0
Planning,2015,com,26,1.0
Planning,2015,com,27,1.0
Planning,2015,com,28,1.0
Planning,2015,com,29,1.0
Planning,2015,com,30,1.0
Planning,2015,com,31,1.0
Planning,2015,com,32,1.0
Planning,2015,com,33,1.0
Planning,2015,com,34,1.0
Planning,2015,com,35,1.0
Planning,2015,ind,1,1.0
Planning,2015,ind,2,1.0
Planning,2015,ind,3,1.0
Planning,2015,ind,4,1.0
Planning,2015,ind,5,1.0
Planning,2015,ind,6,1.0
Planning,2015,ind,7,1.0
