year,pv_price_per_kw_res,pv_price_per_kw_com,pv_price_per_kw_ind,pv_om_per_kw_res,pv_om_per_kw_com,pv_om_per_kw_ind,pv_variable_om_per_kw_res,pv_variable_om_per_kw_com,pv_variable_om_per_kw_ind
2014,3284.981095,2699.070473,2699.070473,20,15,15,0,0,0
2015,3096.324736,2249.114594,2249.114594,18,13.5,13.5,0,0,0
2016,2927.820584,2169.131219,2169.131219,17.2,12.9,12.9,0,0,0
2017,2759.316433,2089.147843,2089.147843,16.4,12.3,12.3,0,0,0
2018,2590.812281,2009.164468,2009.164468,15.6,11.7,11.7,0,0,0
2019,2422.308129,1929.181093,1929.181093,14.8,11.1,11.1,0,0,0
2020,2253.803977,1849.197718,1849.197718,14,10.5,10.5,0,0,0
2021,2150.150139,1764.948629,1764.948629,13.2,9.9,9.9,0,0,0
2022,2046.496302,1680.69954,1680.69954,12.4,9.3,9.3,0,0,0
2023,1942.842464,1596.450451,1596.450451,11.6,8.7,8.7,0,0,0
2024,1839.188626,1512.201362,1512.201362,10.8,8.1,8.1,0,0,0
2025,1735.534788,1427.952273,1427.952273,10,7.5,7.5,0,0,0
2026,1685.87178,1396.414369,1396.414369,10,7.5,7.5,0,0,0
2027,1636.208773,1364.876464,1364.876464,10,7.5,7.5,0,0,0
2028,1586.545765,1333.33856,1333.33856,10,7.5,7.5,0,0,0
2029,1536.882757,1301.800656,1301.800656,10,7.5,7.5,0,0,0
2030,1487.219749,1270.262752,1270.262752,10,7.5,7.5,0,0,0
2031,1464.89037,1247.900766,1247.900766,10,7.5,7.5,0,0,0
2032,1442.560991,1225.53878,1225.53878,10,7.5,7.5,0,0,0
2033,1420.231612,1203.176794,1203.176794,10,7.5,7.5,0,0,0
2034,1397.902234,1180.814808,1180.814808,10,7.5,7.5,0,0,0
2035,1375.572855,1158.452822,1158.452822,10,7.5,7.5,0,0,0
2036,1353.243476,1136.090836,1136.090836,10,7.5,7.5,0,0,0
2037,1330.914097,1113.728849,1113.728849,10,7.5,7.5,0,0,0
2038,1308.584718,1091.366863,1091.366863,10,7.5,7.5,0,0,0
2039,1286.255339,1069.004877,1069.004877,10,7.5,7.5,0,0,0
2040,1263.925961,1046.642891,1046.642891,10,7.5,7.5,0,0,0
2041,1256.939435,1040.792093,1040.792093,10,7.5,7.5,0,0,0
2042,1249.95291,1034.941294,1034.941294,10,7.5,7.5,0,0,0
2043,1242.966384,1029.090495,1029.090495,10,7.5,7.5,0,0,0
2044,1235.979859,1023.239696,1023.239696,10,7.5,7.5,0,0,0
2045,1228.993334,1017.388898,1017.388898,10,7.5,7.5,0,0,0
2046,1222.006808,1011.538099,1011.538099,10,7.5,7.5,0,0,0
2047,1215.020283,1005.6873,1005.6873,10,7.5,7.5,0,0,0
2048,1208.033757,999.8365012,999.8365012,10,7.5,7.5,0,0,0
2049,1201.047232,993.9857024,993.9857024,10,7.5,7.5,0,0,0
2050,1194.060706,988.1349037,988.1349037,10,7.5,7.5,0,0,0
